stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
A,32.63433774416144,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,3.1262019230769225,1.1735483978626317e-05,0.00015547459440051585
A,32.63433774416144,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.5516826923076922,2.2023437078658086e-06,0.00015547459440051585
A,32.63433774416144,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.5516826923076922,2.070967760934056e-06,0.00015547459440051585
A,32.63433774416144,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.09735576923076922,3.8864888962337794e-07,0.00015547459440051585
B,17.75499929597295,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,2.9847540983606557,1.1204501424839294e-05,0.00015547459440051585
B,17.75499929597295,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.5267213114754098,2.102696681083684e-06,0.00015547459440051585
B,17.75499929597295,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.5267213114754098,1.9772649573245813e-06,0.00015547459440051585
B,17.75499929597295,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.09295081967213113,3.710641201912383e-07,0.00015547459440051585
C,12.043255373859678,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,4.16826923076923,1.5647311971501757e-05,0.00015547459440051585
C,12.043255373859678,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.735576923076923,2.936458277154412e-06,0.00015547459440051585
C,12.043255373859678,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.735576923076923,2.7612903479120753e-06,0.00015547459440051585
C,12.043255373859678,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.1298076923076923,5.181985194978374e-07,0.00015547459440051585
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,3.4907303370786518,1.3103891224074132e-05,0.00015547459440051585
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.6160112359550561,2.4591463324783765e-06,0.00015547459440051585
D,7.6681158050723255,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.6160112359550561,2.3124513924836704e-06,0.00015547459440051585
D,7.6681158050723255,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.10870786516853932,4.3396699984912526e-07,0.00015547459440051585
E,4.58257569495584,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,7.1489473684210525,2.683651260235109e-05,0.00015547459440051585
E,4.58257569495584,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,1.261578947368421,5.036283529379215e-06,0.00015547459440051585
E,4.58257569495584,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,1.261578947368421,4.73585516512078e-06,0.00015547459440051585
E,4.58257569495584,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.2226315789473684,8.887559169492732e-07,0.00015547459440051585
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,7.375520833333334,2.7687049238462836e-05,0.00015547459440051585
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,1.3015625,5.1958997848537784e-06,0.00015547459440051585
F,2.3664319132398464,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,1.3015625,4.8859498656110886e-06,0.00015547459440051585
F,2.3664319132398464,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.2296875,9.169234914447846e-07,0.00015547459440051585
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.826778350515464,3.1036523951721025e-06,0.00015547459440051585
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.14590206185567012,5.824480129118649e-07,0.00015547459440051585
G,1.2000000000000002,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.14590206185567012,5.477033638539004e-07,0.00015547459440051585
G,1.2000000000000002,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.025747422680412375,1.0278494345503498e-07,0.00015547459440051585
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.2627272727272727,9.86254815173444e-07,0.00015547459440051585
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.046363636363636364,1.8508585504488414e-07,0.00015547459440051585
H,0.6708203932499369,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.04636363636363636,1.7404496738354897e-07,0.00015547459440051585
H,0.6708203932499369,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.00818181818181818,3.266220971380308e-08,0.00015547459440051585
