Radionuclide	U-238
Route of Intake	Ingestion
Material	Soluble forms, fA=2E-2
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
19	5.2E-5	4.2E-3	8.1E-3	1.1E-2	6.0E-5	6.5E-4	8.6E-3
20	5.1E-5	4.3E-3	8.7E-3	1.1E-2	5.8E-5	6.1E-4	8.3E-3
21	4.9E-5	4.4E-3	9.3E-3	1.1E-2	5.7E-5	5.9E-4	8.0E-3
22	4.8E-5	4.4E-3	9.9E-3	1.1E-2	5.5E-5	5.6E-4	7.7E-3
23	4.7E-5	4.5E-3	1.0E-2	1.1E-2	5.4E-5	5.4E-4	7.5E-3
24	4.6E-5	4.6E-3	1.1E-2	1.2E-2	5.3E-5	5.2E-4	7.2E-3
25	4.5E-5	4.7E-3	1.1E-2	1.2E-2	5.2E-5	5.0E-4	7.0E-3
26	4.4E-5	4.8E-3	1.2E-2	1.1E-2	5.1E-5	4.8E-4	6.8E-3
27	4.3E-5	4.8E-3	1.2E-2	1.1E-2	5.0E-5	4.6E-4	6.7E-3
28	4.2E-5	4.9E-3	1.2E-2	1.1E-2	4.9E-5	4.5E-4	6.5E-3
29	4.1E-5	5.0E-3	1.3E-2	1.1E-2	4.8E-5	4.4E-4	6.3E-3
30	4.1E-5	5.0E-3	1.3E-2	1.1E-2	4.7E-5	4.2E-4	6.2E-3
31	4.0E-5	5.1E-3	1.3E-2	1.1E-2	4.7E-5	4.1E-4	6.1E-3
32	4.0E-5	5.2E-3	1.3E-2	1.1E-2	4.6E-5	4.0E-4	5.9E-3
33	3.9E-5	5.2E-3	1.4E-2	1.1E-2	4.6E-5	3.9E-4	5.8E-3
34	3.9E-5	5.3E-3	1.4E-2	1.1E-2	4.5E-5	3.8E-4	5.7E-3
35	3.8E-5	5.3E-3	1.4E-2	1.1E-2	4.5E-5	3.7E-4	5.6E-3
36	3.8E-5	5.4E-3	1.4E-2	1.1E-2	4.4E-5	3.6E-4	5.5E-3
37	3.7E-5	5.4E-3	1.4E-2	1.1E-2	4.4E-5	3.5E-4	5.4E-3
38	3.7E-5	5.5E-3	1.4E-2	1.1E-2	4.4E-5	3.5E-4	5.3E-3
39	3.7E-5	5.6E-3	1.4E-2	1.1E-2	4.3E-5	3.4E-4	5.2E-3
40	3.6E-5	5.6E-3	1.5E-2	1.1E-2	4.3E-5	3.3E-4	5.1E-3
41	3.6E-5	5.7E-3	1.5E-2	1.1E-2	4.3E-5	3.3E-4	5.1E-3
42	3.6E-5	5.7E-3	1.5E-2	1.0E-2	4.2E-5	3.2E-4	5.0E-3
43	3.6E-5	5.8E-3	1.5E-2	1.0E-2	4.2E-5	3.1E-4	4.9E-3
44	3.5E-5	5.8E-3	1.5E-2	1.0E-2	4.2E-5	3.1E-4	4.9E-3
45	3.5E-5	5.9E-3	1.5E-2	1.0E-2	4.2E-5	3.0E-4	4.8E-3
46	3.5E-5	5.9E-3	1.5E-2	1.0E-2	4.2E-5	3.0E-4	4.7E-3
47	3.5E-5	6.0E-3	1.6E-2	1.0E-2	4.2E-5	2.9E-4	4.7E-3
48	3.5E-5	6.0E-3	1.6E-2	1.0E-2	4.1E-5	2.9E-4	4.6E-3
49	3.5E-5	6.1E-3	1.6E-2	1.0E-2	4.1E-5	2.9E-4	4.6E-3
50	3.4E-5	6.1E-3	1.6E-2	1.0E-2	4.1E-5	2.8E-4	4.5E-3
51	3.4E-5	6.1E-3	1.6E-2	1.0E-2	4.1E-5	2.8E-4	4.5E-3
52	3.4E-5	6.2E-3	1.6E-2	1.0E-2	4.1E-5	2.7E-4	4.4E-3
53	3.4E-5	6.2E-3	1.6E-2	1.0E-2	4.1E-5	2.7E-4	4.4E-3
54	3.4E-5	6.3E-3	1.6E-2	1.0E-2	4.1E-5	2.7E-4	4.4E-3
55	3.4E-5	6.3E-3	1.7E-2	1.0E-2	4.1E-5	2.6E-4	4.3E-3
56	3.4E-5	6.4E-3	1.7E-2	1.0E-2	4.1E-5	2.6E-4	4.3E-3
57	3.4E-5	6.4E-3	1.7E-2	1.0E-2	4.1E-5	2.6E-4	4.2E-3
58	3.4E-5	6.5E-3	1.7E-2	1.0E-2	4.1E-5	2.6E-4	4.2E-3
59	3.4E-5	6.5E-3	1.7E-2	1.0E-2	4.1E-5	2.5E-4	4.2E-3
60	3.4E-5	6.6E-3	1.7E-2	1.0E-2	4.1E-5	2.5E-4	4.2E-3
61	3.4E-5	6.6E-3	1.7E-2	1.0E-2	4.1E-5	2.5E-4	4.1E-3
62	3.4E-5	6.7E-3	1.8E-2	1.0E-2	4.1E-5	2.5E-4	4.1E-3
63	3.4E-5	6.7E-3	1.8E-2	1.0E-2	4.1E-5	2.5E-4	4.1E-3
64	3.4E-5	6.8E-3	1.8E-2	1.0E-2	4.1E-5	2.4E-4	4.1E-3
65	3.4E-5	6.8E-3	1.8E-2	1.0E-2	4.1E-5	2.4E-4	4.0E-3
66	3.4E-5	6.9E-3	1.8E-2	1.0E-2	4.1E-5	2.4E-4	4.0E-3
67	3.4E-5	6.9E-3	1.8E-2	1.0E-2	4.1E-5	2.4E-4	4.0E-3
68	3.4E-5	7.0E-3	1.8E-2	1.0E-2	4.1E-5	2.4E-4	4.0E-3
69	3.4E-5	7.0E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
70	3.4E-5	7.1E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
71	3.4E-5	7.1E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
72	3.4E-5	7.2E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
73	3.4E-5	7.2E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
74	3.4E-5	7.3E-3	1.9E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
75	3.4E-5	7.3E-3	2.0E-2	1.0E-2	4.2E-5	2.3E-4	3.9E-3
76	3.4E-5	7.4E-3	2.0E-2	1.1E-2	4.2E-5	2.3E-4	3.8E-3
77	3.4E-5	7.4E-3	2.0E-2	1.1E-2	4.2E-5	2.2E-4	3.8E-3
78	3.4E-5	7.5E-3	2.0E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
79	3.4E-5	7.5E-3	2.0E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
80	3.4E-5	7.6E-3	2.0E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
81	3.4E-5	7.6E-3	2.0E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
82	3.4E-5	7.7E-3	2.1E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
83	3.5E-5	7.7E-3	2.1E-2	1.1E-2	4.3E-5	2.2E-4	3.8E-3
84	3.5E-5	7.8E-3	2.1E-2	1.1E-2	4.4E-5	2.2E-4	3.8E-3
85	3.5E-5	7.8E-3	2.1E-2	1.1E-2	4.4E-5	2.2E-4	3.8E-3
86	3.5E-5	7.9E-3	2.1E-2	1.1E-2	4.4E-5	2.2E-4	3.8E-3
87	3.5E-5	7.9E-3	2.1E-2	1.1E-2	4.4E-5	2.2E-4	3.8E-3
88	3.5E-5	8.0E-3	2.2E-2	1.1E-2	4.4E-5	2.2E-4	3.8E-3
89	3.5E-5	8.0E-3	2.2E-2	1.1E-2	4.5E-5	2.2E-4	3.7E-3
90	3.5E-5	8.1E-3	2.2E-2	1.1E-2	4.5E-5	2.2E-4	3.7E-3
91	3.5E-5	8.1E-3	2.2E-2	1.1E-2	4.5E-5	2.1E-4	3.7E-3
92	3.5E-5	8.2E-3	2.2E-2	1.1E-2	4.5E-5	2.1E-4	3.7E-3
93	3.6E-5	8.2E-3	2.3E-2	1.1E-2	4.5E-5	2.1E-4	3.7E-3
94	3.6E-5	8.3E-3	2.3E-2	1.1E-2	4.6E-5	2.1E-4	3.7E-3
95	3.6E-5	8.3E-3	2.3E-2	1.1E-2	4.6E-5	2.1E-4	3.7E-3
96	3.6E-5	8.4E-3	2.3E-2	1.1E-2	4.6E-5	2.1E-4	3.7E-3
97	3.6E-5	8.5E-3	2.3E-2	1.2E-2	4.6E-5	2.1E-4	3.7E-3
98	3.6E-5	8.5E-3	2.3E-2	1.2E-2	4.6E-5	2.1E-4	3.7E-3
99	3.6E-5	8.6E-3	2.4E-2	1.2E-2	4.7E-5	2.1E-4	3.7E-3
100	3.7E-5	8.6E-3	2.4E-2	1.2E-2	4.7E-5	2.1E-4	3.7E-3
110	3.8E-5	9.2E-3	2.6E-2	1.2E-2	4.9E-5	2.1E-4	3.8E-3
120	4.0E-5	9.8E-3	2.8E-2	1.3E-2	5.2E-5	2.1E-4	3.8E-3
130	4.2E-5	1.1E-2	3.0E-2	1.4E-2	5.6E-5	2.1E-4	3.9E-3
140	4.4E-5	1.1E-2	3.3E-2	1.5E-2	5.9E-5	2.2E-4	4.0E-3
150	4.6E-5	1.2E-2	3.5E-2	1.6E-2	6.3E-5	2.2E-4	4.1E-3
160	4.9E-5	1.3E-2	3.8E-2	1.7E-2	6.7E-5	2.3E-4	4.3E-3
170	5.2E-5	1.4E-2	4.2E-2	1.8E-2	7.1E-5	2.3E-4	4.4E-3
180	5.5E-5	1.5E-2	4.5E-2	2.0E-2	7.6E-5	2.4E-4	4.6E-3
190	5.8E-5	1.5E-2	4.9E-2	2.1E-2	8.1E-5	2.4E-4	4.8E-3
200	6.1E-5	1.7E-2	5.3E-2	2.3E-2	8.7E-5	2.5E-4	5.0E-3
210	6.4E-5	1.8E-2	5.7E-2	2.5E-2	9.3E-5	2.6E-4	5.2E-3
220	6.8E-5	1.9E-2	6.2E-2	2.6E-2	9.9E-5	2.7E-4	5.4E-3
230	7.2E-5	2.0E-2	6.7E-2	2.8E-2	1.1E-4	2.7E-4	5.6E-3
240	7.6E-5	2.1E-2	7.3E-2	3.1E-2	1.1E-4	2.8E-4	5.8E-3
250	8.0E-5	2.3E-2	7.9E-2	3.3E-2	1.2E-4	2.9E-4	6.0E-3
260	8.4E-5	2.4E-2	8.5E-2	3.5E-2	1.3E-4	3.0E-4	6.2E-3
270	8.9E-5	2.6E-2	9.2E-2	3.8E-2	1.4E-4	3.1E-4	6.4E-3
280	9.4E-5	2.7E-2	1.0E-1	4.1E-2	1.5E-4	3.1E-4	6.7E-3
290	9.9E-5	2.9E-2	1.1E-1	4.4E-2	1.5E-4	3.2E-4	6.9E-3
300	1.0E-4	3.1E-2	1.2E-1	4.7E-2	1.7E-4	3.3E-4	7.1E-3
310	1.1E-4	3.3E-2	1.3E-1	5.1E-2	1.8E-4	3.4E-4	7.3E-3
320	1.1E-4	3.5E-2	1.4E-1	5.4E-2	1.9E-4	3.4E-4	7.6E-3
330	1.2E-4	3.7E-2	1.5E-1	5.8E-2	2.0E-4	3.5E-4	7.8E-3
340	1.3E-4	4.0E-2	1.6E-1	6.3E-2	2.1E-4	3.6E-4	8.0E-3
350	1.3E-4	4.2E-2	1.7E-1	6.7E-2	2.3E-4	3.7E-4	8.2E-3
360	1.4E-4	4.5E-2	1.9E-1	7.2E-2	2.4E-4	3.8E-4	8.5E-3
365	1.4E-4	4.6E-2	2.0E-1	7.4E-2	2.5E-4	3.8E-4	8.6E-3
370	1.4E-4	4.8E-2	2.0E-1	7.7E-2	2.6E-4	3.8E-4	8.7E-3
380	1.5E-4	5.1E-2	2.2E-1	8.2E-2	2.7E-4	3.9E-4	8.9E-3
390	1.6E-4	5.4E-2	2.4E-1	8.8E-2	2.9E-4	4.0E-4	9.1E-3
400	1.6E-4	5.7E-2	2.6E-1	9.4E-2	3.1E-4	4.0E-4	9.3E-3
410	1.7E-4	6.1E-2	2.8E-1	1.0E-1	3.3E-4	4.1E-4	9.5E-3
420	1.8E-4	6.4E-2	3.0E-1	1.1E-1	3.5E-4	4.2E-4	9.7E-3
430	1.9E-4	6.8E-2	3.3E-1	1.1E-1	3.7E-4	4.2E-4	9.9E-3
440	1.9E-4	7.2E-2	3.6E-1	1.2E-1	3.9E-4	4.3E-4	1.0E-2
450	2.0E-4	7.7E-2	3.9E-1	1.3E-1	4.2E-4	4.4E-4	1.0E-2
460	2.1E-4	8.1E-2	4.2E-1	1.4E-1	4.4E-4	4.4E-4	1.0E-2
470	2.2E-4	8.6E-2	4.5E-1	1.5E-1	4.7E-4	4.5E-4	1.1E-2
480	2.2E-4	9.1E-2	4.9E-1	1.6E-1	5.0E-4	4.5E-4	1.1E-2
490	2.3E-4	9.6E-2	5.3E-1	1.7E-1	5.3E-4	4.6E-4	1.1E-2
500	2.4E-4	1.0E-1	5.7E-1	1.8E-1	5.6E-4	4.6E-4	1.1E-2
510	2.5E-4	1.1E-1	6.2E-1	1.9E-1	6.0E-4	4.7E-4	1.1E-2
520	2.5E-4	1.1E-1	6.7E-1	2.0E-1	6.3E-4	4.7E-4	1.1E-2
530	2.6E-4	1.2E-1	7.3E-1	2.1E-1	6.7E-4	4.8E-4	1.2E-2
540	2.7E-4	1.3E-1	7.9E-1	2.2E-1	7.1E-4	4.8E-4	1.2E-2
550	2.8E-4	1.4E-1	8.5E-1	2.3E-1	7.6E-4	4.9E-4	1.2E-2
560	2.9E-4	1.4E-1	9.2E-1	2.5E-1	8.0E-4	4.9E-4	1.2E-2
570	2.9E-4	1.5E-1	1.0E+0	2.6E-1	8.5E-4	5.0E-4	1.2E-2
580	3.0E-4	1.6E-1	1.1E+0	2.7E-1	9.0E-4	5.0E-4	1.2E-2
590	3.1E-4	1.7E-1	1.2E+0	2.9E-1	9.5E-4	5.1E-4	1.2E-2
600	3.2E-4	1.8E-1	1.3E+0	3.0E-1	1.0E-3	5.1E-4	1.3E-2
610	3.2E-4	1.9E-1	1.4E+0	3.2E-1	1.1E-3	5.1E-4	1.3E-2
620	3.3E-4	2.0E-1	1.5E+0	3.3E-1	1.1E-3	5.2E-4	1.3E-2
630	3.4E-4	2.1E-1	1.6E+0	3.5E-1	1.2E-3	5.2E-4	1.3E-2
640	3.5E-4	2.2E-1	1.7E+0	3.6E-1	1.3E-3	5.2E-4	1.3E-2
650	3.5E-4	2.3E-1	1.9E+0	3.8E-1	1.3E-3	5.3E-4	1.3E-2
660	3.6E-4	2.4E-1	2.0E+0	4.0E-1	1.4E-3	5.3E-4	1.3E-2
670	3.7E-4	2.5E-1	2.2E+0	4.1E-1	1.5E-3	5.3E-4	1.3E-2
680	3.7E-4	2.7E-1	2.4E+0	4.3E-1	1.6E-3	5.4E-4	1.3E-2
690	3.8E-4	2.8E-1	2.6E+0	4.4E-1	1.7E-3	5.4E-4	1.3E-2
700	3.9E-4	3.0E-1	2.8E+0	4.6E-1	1.8E-3	5.4E-4	1.4E-2
710	3.9E-4	3.1E-1	3.0E+0	4.8E-1	1.9E-3	5.5E-4	1.4E-2
720	4.0E-4	3.3E-1	3.2E+0	4.9E-1	2.0E-3	5.5E-4	1.4E-2
730	4.1E-4	3.4E-1	3.5E+0	5.1E-1	2.1E-3	5.5E-4	1.4E-2
740	4.1E-4	3.6E-1	3.8E+0	5.3E-1	2.2E-3	5.6E-4	1.4E-2
750	4.2E-4	3.8E-1	4.1E+0	5.4E-1	2.4E-3	5.6E-4	1.4E-2
760	4.3E-4	3.9E-1	4.4E+0	5.6E-1	2.5E-3	5.6E-4	1.4E-2
770	4.3E-4	4.1E-1	4.8E+0	5.7E-1	2.6E-3	5.6E-4	1.4E-2
780	4.4E-4	4.3E-1	5.1E+0	5.9E-1	2.8E-3	5.7E-4	1.4E-2
790	4.4E-4	4.5E-1	5.6E+0	6.0E-1	2.9E-3	5.7E-4	1.4E-2
800	4.5E-4	4.7E-1	6.0E+0	6.2E-1	3.1E-3	5.7E-4	1.4E-2
810	4.5E-4	4.9E-1	6.5E+0	6.3E-1	3.3E-3	5.7E-4	1.4E-2
820	4.6E-4	5.1E-1	7.0E+0	6.5E-1	3.4E-3	5.8E-4	1.4E-2
830	4.6E-4	5.4E-1	7.6E+0	6.6E-1	3.6E-3	5.8E-4	1.4E-2
840	4.7E-4	5.6E-1	8.2E+0	6.7E-1	3.8E-3	5.8E-4	1.4E-2
850	4.7E-4	5.8E-1	8.8E+0	6.9E-1	4.1E-3	5.8E-4	1.5E-2
860	4.8E-4	6.1E-1	9.5E+0	7.0E-1	4.3E-3	5.8E-4	1.5E-2
870	4.8E-4	6.3E-1	1.0E+1	7.1E-1	4.5E-3	5.9E-4	1.5E-2
880	4.9E-4	6.6E-1	1.1E+1	7.2E-1	4.8E-3	5.9E-4	1.5E-2
890	4.9E-4	6.9E-1	1.2E+1	7.3E-1	5.0E-3	5.9E-4	1.5E-2
900	4.9E-4	7.1E-1	1.3E+1	7.5E-1	5.3E-3	5.9E-4	1.5E-2
910	5.0E-4	7.4E-1	1.4E+1	7.6E-1	5.6E-3	6.0E-4	1.5E-2
920	5.0E-4	7.7E-1	1.5E+1	7.7E-1	5.9E-3	6.0E-4	1.5E-2
930	5.1E-4	8.0E-1	1.6E+1	7.8E-1	6.2E-3	6.0E-4	1.5E-2
940	5.1E-4	8.3E-1	1.7E+1	7.9E-1	6.6E-3	6.0E-4	1.5E-2
950	5.1E-4	8.6E-1	1.9E+1	7.9E-1	6.9E-3	6.0E-4	1.5E-2
960	5.2E-4	8.9E-1	2.0E+1	8.0E-1	7.3E-3	6.1E-4	1.5E-2
970	5.2E-4	9.2E-1	2.2E+1	8.1E-1	7.7E-3	6.1E-4	1.5E-2
980	5.2E-4	9.5E-1	2.3E+1	8.2E-1	8.1E-3	6.1E-4	1.5E-2
990	5.3E-4	9.8E-1	2.5E+1	8.3E-1	8.5E-3	6.1E-4	1.5E-2
1000	5.3E-4	1.0E+0	2.7E+1	8.3E-1	9.0E-3	6.1E-4	1.5E-2
1010	5.3E-4	1.1E+0	2.9E+1	8.4E-1	9.5E-3	6.1E-4	1.5E-2
1020	5.4E-4	1.1E+0	3.1E+1	8.5E-1	1.0E-2	6.2E-4	1.5E-2
1030	5.4E-4	1.1E+0	3.3E+1	8.5E-1	1.1E-2	6.2E-4	1.5E-2
1040	5.4E-4	1.2E+0	3.6E+1	8.6E-1	1.1E-2	6.2E-4	1.5E-2
1050	5.5E-4	1.2E+0	3.8E+1	8.7E-1	1.2E-2	6.2E-4	1.5E-2
1060	5.5E-4	1.2E+0	4.1E+1	8.7E-1	1.2E-2	6.2E-4	1.5E-2
1070	5.5E-4	1.3E+0	4.4E+1	8.8E-1	1.3E-2	6.3E-4	1.5E-2
1080	5.5E-4	1.3E+0	4.7E+1	8.8E-1	1.4E-2	6.3E-4	1.5E-2
1090	5.6E-4	1.3E+0	5.0E+1	8.9E-1	1.4E-2	6.3E-4	1.6E-2
1095	5.6E-4	1.3E+0	5.2E+1	8.9E-1	1.5E-2	6.3E-4	1.6E-2
1100	5.6E-4	1.4E+0	5.4E+1	8.9E-1	1.5E-2	6.3E-4	1.6E-2
1200	5.8E-4	1.7E+0	9.9E+1	9.2E-1	2.5E-2	6.5E-4	1.6E-2
1300	6.0E-4	2.1E+0	1.7E+2	9.5E-1	4.2E-2	6.6E-4	1.6E-2
1400	6.2E-4	2.4E+0	2.5E+2	9.6E-1	6.8E-2	6.8E-4	1.6E-2
1500	6.4E-4	2.6E+0	3.2E+2	9.7E-1	1.1E-1	7.0E-4	1.7E-2
1600	6.5E-4	2.8E+0	3.9E+2	9.7E-1	1.7E-1	7.1E-4	1.7E-2
1700	6.7E-4	3.0E+0	4.4E+2	9.8E-1	2.7E-1	7.3E-4	1.7E-2
1800	6.8E-4	3.2E+0	4.7E+2	9.8E-1	4.0E-1	7.5E-4	1.8E-2
1900	7.0E-4	3.4E+0	5.0E+2	9.9E-1	5.6E-1	7.6E-4	1.8E-2
2000	7.1E-4	3.5E+0	5.3E+2	9.9E-1	7.4E-1	7.8E-4	1.8E-2
2100	7.3E-4	3.7E+0	5.6E+2	9.9E-1	9.3E-1	7.9E-4	1.8E-2
2200	7.4E-4	3.8E+0	5.8E+2	1.0E+0	1.1E+0	8.1E-4	1.9E-2
2300	7.6E-4	4.0E+0	6.0E+2	1.0E+0	1.2E+0	8.3E-4	1.9E-2
2400	7.7E-4	4.2E+0	6.3E+2	1.0E+0	1.3E+0	8.4E-4	1.9E-2
2500	7.9E-4	4.3E+0	6.5E+2	1.0E+0	1.4E+0	8.6E-4	2.0E-2
2600	8.0E-4	4.5E+0	6.7E+2	1.0E+0	1.4E+0	8.8E-4	2.0E-2
2700	8.2E-4	4.6E+0	7.0E+2	1.0E+0	1.5E+0	8.9E-4	2.0E-2
2800	8.3E-4	4.8E+0	7.2E+2	1.0E+0	1.5E+0	9.1E-4	2.1E-2
2900	8.4E-4	5.0E+0	7.5E+2	1.0E+0	1.5E+0	9.3E-4	2.1E-2
3000	8.6E-4	5.2E+0	7.8E+2	1.0E+0	1.5E+0	9.4E-4	2.1E-2
3100	8.7E-4	5.3E+0	8.1E+2	1.0E+0	1.5E+0	9.6E-4	2.2E-2
3200	8.9E-4	5.5E+0	8.3E+2	1.0E+0	1.5E+0	9.8E-4	2.2E-2
3300	9.0E-4	5.7E+0	8.6E+2	1.0E+0	1.5E+0	9.9E-4	2.2E-2
3400	9.2E-4	5.9E+0	8.9E+2	1.0E+0	1.6E+0	1.0E-3	2.3E-2
3500	9.3E-4	6.1E+0	9.2E+2	1.0E+0	1.6E+0	1.0E-3	2.3E-2
3600	9.5E-4	6.3E+0	9.5E+2	1.0E+0	1.6E+0	1.0E-3	2.3E-2
3650	9.5E-4	6.4E+0	9.7E+2	1.0E+0	1.6E+0	1.0E-3	2.3E-2
4000	1.0E-3	7.2E+0	1.1E+3	1.0E+0	1.6E+0	1.1E-3	2.5E-2
5000	1.1E-3	9.6E+0	1.5E+3	1.1E+0	1.6E+0	1.3E-3	2.9E-2
6000	1.3E-3	1.2E+1	1.9E+3	1.1E+0	1.6E+0	1.4E-3	3.3E-2
7000	1.4E-3	1.5E+1	2.3E+3	1.1E+0	1.7E+0	1.6E-3	3.8E-2
8000	1.5E-3	1.9E+1	2.8E+3	1.1E+0	1.7E+0	1.7E-3	4.4E-2
9000	1.7E-3	2.2E+1	3.3E+3	1.2E+0	1.7E+0	1.9E-3	5.0E-2
10000	1.8E-3	2.5E+1	3.7E+3	1.2E+0	1.8E+0	2.0E-3	5.6E-2
11000	1.9E-3	2.8E+1	4.2E+3	1.2E+0	1.8E+0	2.2E-3	6.3E-2
12000	2.1E-3	3.1E+1	4.7E+3	1.2E+0	1.9E+0	2.3E-3	7.0E-2
13000	2.2E-3	3.4E+1	5.1E+3	1.2E+0	1.9E+0	2.5E-3	7.7E-2
14000	2.4E-3	3.7E+1	5.6E+3	1.3E+0	1.9E+0	2.7E-3	8.4E-2
15000	2.5E-3	4.1E+1	6.1E+3	1.3E+0	2.0E+0	2.8E-3	9.2E-2
16000	2.7E-3	4.4E+1	6.7E+3	1.3E+0	2.0E+0	3.0E-3	9.9E-2
17000	2.8E-3	4.8E+1	7.2E+3	1.3E+0	2.0E+0	3.2E-3	1.1E-1
18000	3.0E-3	5.2E+1	7.8E+3	1.4E+0	2.1E+0	3.4E-3	1.1E-1
18250	3.0E-3	5.3E+1	8.0E+3	1.4E+0	2.1E+0	3.5E-3	1.2E-1
Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type M, Uranyl acetylacetonate; depleted uranium aerosols from use of kinetic energy penetrators; vaporised uranium metal; all unspecified forms, fA=4E-3
AMTD/AMAD, µm	3

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.7E-3	-	-	5.2E-3	1.3E-2	3.4E+0	4.2E+0
0.083333	8.7E-4	-	-	2.3E-3	6.9E-3	8.9E-1	1.5E+0
0.125	5.9E-4	-	-	1.4E-3	4.9E-3	4.1E-1	8.7E-1
0.25	3.0E-4	-	-	5.9E-4	2.7E-3	1.1E-1	3.4E-1
0.375	2.1E-4	-	-	3.6E-4	1.9E-3	5.2E-2	2.1E-1
0.5	1.6E-4	-	-	2.5E-4	1.5E-3	3.2E-2	1.6E-1
0.625	1.3E-4	-	-	1.9E-4	1.2E-3	2.2E-2	1.3E-1
0.75	1.2E-4	-	-	1.6E-4	1.0E-3	1.7E-2	1.1E-1
0.875	1.0E-4	-	-	1.4E-4	8.8E-4	1.3E-2	9.7E-2
1	9.6E-5	1.1E-4	2.1E-5	1.3E-4	7.8E-4	1.1E-2	8.9E-2
1.125	9.0E-5	-	-	1.2E-4	7.0E-4	9.7E-3	8.2E-2
1.25	8.6E-5	-	-	1.1E-4	6.3E-4	8.6E-3	7.6E-2
1.375	8.4E-5	-	-	1.1E-4	5.8E-4	7.7E-3	7.2E-2
1.5	8.3E-5	-	-	1.1E-4	5.4E-4	7.0E-3	6.8E-2
1.625	8.3E-5	-	-	1.1E-4	5.0E-4	6.5E-3	6.4E-2
1.75	8.4E-5	-	-	1.1E-4	4.7E-4	6.0E-3	6.0E-2
1.875	8.5E-5	-	-	1.1E-4	4.4E-4	5.6E-3	5.7E-2
2	8.7E-5	7.1E-4	6.5E-6	1.2E-4	4.1E-4	5.3E-3	5.5E-2
2.25	9.3E-5	-	-	1.3E-4	3.7E-4	4.7E-3	5.0E-2
2.5	1.0E-4	-	-	1.6E-4	3.4E-4	4.3E-3	4.6E-2
2.75	1.1E-4	-	-	1.9E-4	3.1E-4	3.9E-3	4.2E-2
3	1.2E-4	2.0E-3	9.9E-6	2.3E-4	2.9E-4	3.6E-3	3.9E-2
3.25	1.3E-4	-	-	2.9E-4	2.7E-4	3.4E-3	3.7E-2
3.5	1.3E-4	-	-	3.6E-4	2.5E-4	3.1E-3	3.4E-2
3.75	1.4E-4	-	-	4.6E-4	2.4E-4	3.0E-3	3.2E-2
4	1.5E-4	2.4E-3	2.6E-5	6.0E-4	2.2E-4	2.8E-3	3.1E-2
4.25	1.5E-4	-	-	7.7E-4	2.1E-4	2.6E-3	2.9E-2
4.5	1.5E-4	-	-	1.0E-3	2.0E-4	2.5E-3	2.8E-2
4.75	1.5E-4	-	-	1.3E-3	1.9E-4	2.4E-3	2.6E-2
5	1.5E-4	2.6E-3	8.7E-5	1.6E-3	1.8E-4	2.3E-3	2.5E-2
5.5	1.4E-4	-	-	2.6E-3	1.7E-4	2.1E-3	2.3E-2
6	1.3E-4	2.7E-3	3.0E-4	3.6E-3	1.6E-4	1.9E-3	2.2E-2
6.5	1.3E-4	-	-	4.7E-3	1.5E-4	1.8E-3	2.0E-2
7	1.2E-4	2.9E-3	8.6E-4	5.5E-3	1.4E-4	1.7E-3	1.9E-2
7.5	1.1E-4	-	-	6.1E-3	1.3E-4	1.6E-3	1.8E-2
8	1.1E-4	3.0E-3	1.6E-3	6.5E-3	1.3E-4	1.5E-3	1.7E-2
8.5	1.0E-4	-	-	6.8E-3	1.2E-4	1.4E-3	1.6E-2
9	9.8E-5	3.2E-3	2.3E-3	7.1E-3	1.1E-4	1.3E-3	1.5E-2
9.5	9.4E-5	-	-	7.3E-3	1.1E-4	1.2E-3	1.5E-2
10	9.1E-5	3.3E-3	2.8E-3	7.6E-3	1.1E-4	1.2E-3	1.4E-2
11	8.5E-5	3.5E-3	3.4E-3	8.1E-3	9.9E-5	1.1E-3	1.3E-2
12	8.0E-5	3.6E-3	3.9E-3	8.6E-3	9.3E-5	1.0E-3	1.2E-2
13	7.5E-5	3.7E-3	4.5E-3	9.2E-3	8.8E-5	9.3E-4	1.2E-2
